Common Name,Alpha Code,Genus,Species
House Cricket,ACDO,Acheta,domesticus
California Sister Butterfly,ADCA,Adelpha,californica
Poison Hemlock Moth,AGAL,Agonopterix,alstroemeriana
Common Snakefly,AGUN,Agulla,unknown
Oblique Streaktail,ALOB,Allograpta,obliqua
Pictured Jerusalem Cricket,AMPI,Ammopelmatus,pictus
European Woolcarder Bee,ANMA,Anthidium,manicatum
Maritime Earwig,ANMA,Anisolabis,maritima
Varied Carpet Beetle,ANVE,Anthrenus,verbasci
Melon Aphid,APGO,Aphis,gossypii
Western Honey Bee,APME,Apis,mellifera
Oleander Aphid,APNE,Aphis,nerii
Ornate Tiger Moth,APOR,Apantesis,ornata
Yellow Garden Spider,ARAU,Argiope,aurantia
American Dewdrop Spider,AREL,Argyrodes,elevatus
Painted Tiger Moth,ARPI,Arachnis,picta
Banded Garden Spider,ARTR,Argiope,trifasciata
Common Pill Woodlouse,ARVU,Armadillidium,vulgare
Bagrada Bug,BAHI,Bagrada,hilaris
Grey House Spider,BALO,Badumna,longinqua
German Cockroach,BLGE,Blattella,germanica
Oriental Cockroach,BLOR,Blatta,orientalis
Western Boxelder Bug,BORU,Boisea,rubrolineata
Yellow-faced Bumble Bee,BOVO,Bombus,vosnesenskii
Cabbage Aphid,BRBR,Brevicoryne,brassicae
Western Pygmy-Blue Butterfly,BREX,Brephidium,exilis
Common Checkered-Skipper Butterfly,BUCO,Burnsius,communis
California Camel Cricket,CECA,Ceuthophilus,californianus
Echo Azure Butterfly,CEEC,Celastrina,echo
Steel-blue Cricket-hunter Wasp,CHAE,Chlorion,aerarium
Bronze Beetle,CHBA,Chrysolina,bankii
Unknown Green Lacewing,CHUN,Chrysoperla,unknown
Unknown Sac Spider,CHUN,Cheiracanthium,unknown
Wetsalts Tiger Beetle,CIHA,Cicindela,haemorrhagica
California Lady Beetle,COCA,Coccinella,californica
Common Ringlet Butterfly,COCA,Coenonympha,california
Hedge Nettle Stink Bug,COCO,Cosmopepla,conspicillaris
California Broad-necked Darkling Beetle,CODI,Coelocnemis,dilaticollis
Orange Sulphur Butterfly,COEU,Colias,eurytheme
Figeater Beetle,COMU,Cotinis,mutabilis
Seven-spotted Lady Beetle,COSE,Coccinella,septempunctata
Pacific Three-banded Lady Beetle,COTR,Coccinella,trifasciata
Long-tailed Silverfish,CTLO,Ctenolepisma,longicaudatum
Western Polished Lady Beetle,CYPO,Cycloneda,polita
Spotless Lady Beetle,CYSA,Cycloneda,sanguinea
Night-hunting Woodland Spider,CYSI,Cybaeus,signifer
Unknown Trashline Orbweaver,CYUN,Cyclosa,unknown
Pacific Velvet Ant,DAAU,Dasymutilla,aureola
Monarch Butterfly,DAPL,Danaus,plexippus
Pacific Coast Tick,DEOC,Dermacentor,occidentalis
Western Dog Tick,DESI,Dermacentor,similis
Spotted Cucumber Beetle,DIUN,Diabrotica,undecimpunctata
Gulf Fritillary Butterfly,DIVA,Dione,vanillae
Woodlouse Spider,DYCR,Dysdera,crocata
Armored Stink Beetle,ELAR,Eleodes,armata
California Glowworm,ELCA,Ellychnia,californica
Woolly Darkling Beetle,ELOS,Eleodes,osculans
Morning-glory Plume Moth,EMMO,Emmelina,monodactyla
Eurasian Drone Fly,ERAR,Eristalis,arbustorum
Salt Marsh Moth,ESAC,Estigmene,acrea
Ring-legged Earwig,EUAN,Euborellia,annulipes
Variable Checkerspot Butterfly,EUCH,Euphydryas,chalcedona
European Earwig,FOAU,Forficula,auricularia
Bowl-and-doily Spider,FRPY,Frontinella,pyramitela
Coyote Brush Stem Gall Moth,GNBA,Gnorimoschema,baccharisella
Variable Field Cricket,GRLI,Gryllus,lineaticeps
Asian Lady Beetle,HAAX,Harmonia,axyridis
"Brown Marmorated Stink Bug ",HAHA,Halyomorpha,halys
Tripartite Sweat Bee,HATR,Halictus,tripartitus
Black Soldier Fly,HEIL,Hermetia,illucens
Convergent Lady Beetle,HICO,Hippodamia,convergens
Marbled Cellar Spider,HOPL,Holocnemus,pluchei
White-lined Sphinx,HYLI,Hyles,lineata
Fiery Skipper Butterfly,HYPH,Hylephila,phyleus
Acmon Blue Butterfly,ICAC,Icaricia,acmon
Western Drywood Termite,INMI,Incisitermes,minor
Mediterranean Mantis,IROR,Iris,oratoria
Western Black-legged Tick,IXPA,Ixodes,pacificus
Red-shouldered Bug,JAHA,"Jadera ",haematoloma
Gray Buckeye Butterfly,JUGR,Junonia,grisea
Cosmopolitan Ground Beetle,LACO,Laemostenus,complanatus
Brown Widow,LAGE,Latrodectus,geometricus
Western Black Widow,LAHE,Latrodectus,hesperus
California Tiger Moth,LECA,Leptarctia,californiae
Argentine Ant,LIHU,Linepithema,humile
Listrus Beetle,LIUN,Listrus,unknown
Umber Skipper Butterfly,LOME,Lon,melane
Lupine Aphid,MAAL,Macrosiphum,albifrons
European Mantis,MARE,Mantis,religiosa
Rose Aphid,MARO,Macrosiphum,rosae
Mexican Social Spider,MAUN,Mallos,unknown
South American Toothed Hacklemesh Weaver,MESI,Metaltella,simoni
Goldenrod Crab Spider,MIVA,Misumena,vatia
Harlequin Bug,MUHI,Murgantia,histrionica
West Coast Ant Cricket,MYOR,Myrmecophilus,oregonensis
Sierra Dome Spider,NELI,Neriene,litigiosa
None,NONO,None,None
Mourning Cloak Butterfly,NYAN,Nymphalis,antiopa
California Tortoiseshell Butterfly,NYCA,Nymphalis,californica
Devil's Coach Horse Beetle,OCOL,Ocypus,olens
Black Webspinner,OLNI,Oligotoma,nigra
Ashy Gray Lady Beetle,OLV-,Olla,v-nigrum
Western Tussock Moth,ORVE,Orgyia,vetusta
Striped Lynx Spider,OXSA,Oxyopes,salticus
Western Lynx Spider,OXSC,Oxyopes,scalaris
Common House Spider,PATE,Parasteatoda,tepidariorum
Anise Swallowtail Butterfly,PAZE,Papilio,zelicaon
American Cockroach,PEAM,Periplaneta,americana
Turkestan Cockroach,PELA,Periplaneta,lateralis
Lesser Green Lynx Spider,PELO,Peucetia,longipalpis
Jumping Bristletail,PESA,Pedetontus,saltator
Bold Jumping Spider,PHAU,Phidippus,audax
Cabbage Flea Beetle,PHCR,Phyllotreta,cruciferae
Johnson's Jumping Spider,PHJO,Phidippus,johnsoni
Mylitta Crescent Butterfly,PHMY,Phyciodes,mylitta
Mediterranean Katydid,PHNA,Phaneroptera,nana
Long-bodied Cellar Spider,PHPH,Pholcus,phalangioides
Small White Butterfly,PIRA,Pieris,rapae
European Paper Wasp,PODO,Polistes,dominula
Swift Woodlouse,POLA,Porcellio,laevis
Checkered White Butterfly,POPR,Pontia,protodice
Downy Leather-winged Beetle,POPR,Podabrus,pruinosus
California Root Borer,PRCA,Prionus,californicus
American Winter Ant,PRIM,Prenolepis,imparis
Edwards' Glassy-wing Moth,PSED,Pseudohemihyalea,edwardsii
Western Subterranean Termite,REHE,Reticulitermes,hesperus
Common Flesh Fly,SAUN,Sarcophaga,unknown
Mouse Spider,SCBL,Scotophaeus,blackwalli
Golden Dung Fly,SCST,Scathophaga,stercoraria
False Black Widow,STGR,Steatoda,grossa
Gray Hairstreak Butterfly,STME,Strymon,melinus
"Noble False Widow ",STNO,Steatoda,nobilis
Triangulate Combfoot,STTR,Steatoda,triangulosa
Brown-banded Cockroach,SULO,Supella,longipalpa
Broken-backed Bug,TAAP,Taylorilygus,apicalis
