Alpha Code,Common Name,Genus,Species
ABDU,American Black Duck,Anas,rubripes
ABFL,Asian Brown Flycatcher,Muscicapa,dauurica
ABTO,Abert's Towhee,Melozone,aberti
ACCA,Audubon's Crested Caracara,Caracara,plancus audubonii
ACFL,Acadian Flycatcher,Empidonax,virescens
ACGO,Aleutian Cackling Goose,Branta,hutchinsii leucopareia
ACHH,Anna's x Costa's Hummingbird Hybrid,Calypte,anna x costae
ACWO,Acorn Woodpecker,Melanerpes,formicivorus
ADWA,Adelaide's Warbler,Setophaga,adelaidae
AFCD,African Collared-Dove,Streptopelia,roseogrisea
AFOW,Ashy-faced Owl,Tyto,glaucops
AFSI,African Silverbill,Euodice,cantans
AGHE,Agami Heron,Agamia,agami
AGOL,American Goldfinch,Spinus,tristis
AGOS,American Goshawk,Accipiter,atricapillus
AGWT,American Green-winged Teal,Anas,crecca carolinensis
AHJA,Azure-hooded Jay,Cyanolyca,cucullata
AISP,Ainley's Storm-Petrel,Hydrobates,cheimomnestes
AKEK,Akekee,Loxops,caeruleirostris
AKIA,Akiapolaau,Hemignathus,wilsoni
AKIK,Akikiki,Oreomystis,bairdi
AKLW,Arctic/Kamchatka Leaf Warbler,Phylloscopus,borealis/examinandus
AKOH,Akohekohe,Palmeria,dolei
ALFL,Alder Flycatcher,Empidonax,alnorum
ALHU,Allen's Hummingbird,Selasphorus,sasin
ALOR,Altamira Oriole,Icterus,gularis
ALSW,Alpine Swift,Apus,melba
ALTE,Aleutian Tern,Onychoprion,aleuticus
ALYE,Altamira Yellowthroat,Geothlypis,flavovelata
AMAU,Amaui,Myadestes,woahensis
AMAV,American Avocet,Recurvirostra,americana
AMBI,American Bittern,Botaurus,lentiginosus
AMCO,American Coot,Fulica,americana
AMCR,American Crow,Corvus,brachyrhynchos
AMDI,American Dipper,Cinclus,mexicanus
AMFL,American Flamingo,Phoenicopterus,ruber
AMGP,American Golden-Plover,Pluvialis,dominica
AMHU,Amazilia Hummingbird,Amazilis,amazilia
AMKE,American Kestrel,Falco,sparverius
AMKI,Amazon Kingfisher,Chloroceryle,amazona
AMMU,Alaska Marbled Murrelet,Brachyramphus,marmoratus a
AMOY,American Oystercatcher,Haematopus,palliatus
AMPI,American Pipit,Anthus,rubescens
AMRE,American Redstart,Setophaga,ruticilla
AMRO,American Robin,Turdus,migratorius
AMWI,American Wigeon,Mareca,americana
AMWO,American Woodcock,Scolopax,minor
ANCH,Antillean Crested Hummingbird,Orthorhyncus,cristatus
ANHI,Anhinga,Anhinga,anhinga
ANHU,Anna's Hummingbird,Calypte,anna
ANIA,Anianiau,Magumma,parva
ANMU,Ancient Murrelet,Synthliboramphus,antiquus
ANNI,Antillean Nighthawk,Chordeiles,gundlachii
ANPI,Antillean Piculet,Nesoctites,micromegas
ANPS,Antillean Palm-Swift,Tachornis,phoenicobia
ANSI,Antillean Siskin,Spinus,dominicensis
APAP,Apapane,Himatione,sanguinea
APFA,Aplomado Falcon,Falco,femoralis
APKI,American Pygmy Kingfisher,Chloroceryle,aenea
ARLO,Arctic Loon,Gavia,arctica
ARRW,Arrowhead Warbler,Setophaga,pharetra
ARTA,Azure-rumped Tanager,Poecilostreptus,cabanisi
ARTE,Arctic Tern,Sterna,paradisaea
ARWA,Arctic Warbler,Phylloscopus,borealis
ARWO,Arizona Woodpecker,Dryobates,arizonae
ASRF,Asian Rosy-Finch,Leucosticte,arctoa
ASSP,Ashy Storm-Petrel,Hydrobates,homochroa
ASST,Asian Stonechat,Saxicola,maurus
ATBR,Atlantic Brant,Branta,bernicula bernicula
ATCH,Ashy-throated Chlorospingus,Chlorospingus,canigularis
ATFL,Ash-throated Flycatcher,Myiarchus,cinerascens
ATGR,Atitlan Grebe,Podilymbus,gigas
ATMG,Amethyst-throated Mountain-gem,Lampornis,amethystinus
ATPU,Atlantic Puffin,Fratercula,arctica
ATSP,American Tree Sparrow,Spizelloides,arborea
ATTW,American Three-toed Woodpecker,Picoides,dorsalis
AUOR,Audubon's Oriole,Icterus,graduacauda
AUSH,Audubon's Shearwater,Puffinus,lherminieri
AUWA,Audubon's Warbler,Setophaga,coronata auduboni
AWPE,American White Pelican,Pelecanus,erythrorhynchos
AZCH,Azure-crowned Hummingbird,Saucerottia,cyanocephala
AZGA,Azure Gallinule,Porphyrio,flavirostris
AZRA,Aztec Rail,Rallus,tenuirostris
AZTH,Aztec Thrush,Ridgwayia,pinicola
BAAN,Barred Antshrike,Thamnophilus,doliatus
BABE,Barred Becard,Pachyramphus,versicolor
BABI,Black X Atlantic Brant Intergrade,Branta,bernicula bernicula x nigrican
BABU,Barbados Bullfinch,Loxigilla,barbadensis
BABW,Band-backed Wren,Campylorhynchus,zonatus
BACA,Bare-crowned Antbird,Gymnocichla,nudiceps
BACS,Bachman's Sparrow,Peucaea,aestivalis
BADO,Barred Owl,Strix,varia
BAEA,Bald Eagle,Haliaeetus,leucocephalus
BAFA,Bat Falcon,Falco,rufigularis
BAFF,Barred Forest-Falcon,Micrastur,ruficollis
BAGO,Barrow's Goldeneye,Bucephala,islandica
BAGT,Blue-and-gold Tanager,Bangsia,arcaei
BAHA,Barred Hawk,Morphnarchus,princeps
BAHO,Bahama Oriole,Icterus,northropi
