Alpha Code,Common Name,Genus,Species
ADCA,California Sister,Adelpha,californica
ALMA,Mariposa Forester,Alypia,mariposa
ANSA,Sara Orangetip,Anthocharis,sara
APMO,Lange's Metalmark,Apodemia,mormo
APMO,Mormon Metalmark,Apodemia,mormo
ARAD,Unsilvered Fritillary,Argynnis,adiaste
ARCA,Callippe Fritillary,Argynnis,callippe
ARCA,Callippe Silverspot,Argynnis,callippe
ARCA,Comstock's Fritillary,Argynnis,callippe
ARCO,Coronis Fritillary,Argynnis,coronis
ARZE,Myrtle's Silverspot,Argynnis,zerene
ARZE,Zerene Fritillary,Argynnis,zerene
ATCA,Field Skipper,Atalopedes,campestris
ATHA,Great Purple Hairstreak,Atlides,halesus
BAPH,California Pipevine Swallowtail,Battus,philenor
BAPH,Pipevine Swallowtail,Battus,philenor
BOEP,Pacific Fritillary,Boloria,epithore
BREX,Western Pygmy-Blue,Brephidium,exilis
BUCO,Common Checkered-Skipper,Burnsius,communis
CAAU,Brown Elfin,Callophrys,augustinus
CADU,Lotus Hairstreak,Callophrys,dumetorum
CAER,Western Pine Elfin,Callophrys,eryphon
CAMO,Marin Elfin,Callophrys,mossii
CAMO,San Bruno Elfin,Callophrys,mossii
CAVI,Coastal Green Hairstreak,Callophrys,viridis
CEEC,Echo Azure,Celastrina,echo
CEEC,Pacific Azure,Celastrina,echo
CEPE,Common Wood-Nymph,Cercyonis,pegala
CEPE,Ox-eyed Satyr,Cercyonis,pegala
CEST,Great Basin Wood-Nymph,Cercyonis,sthenele
CHLE,Leanira Checkerspot,Chlosyne,leanira
CHPA,Northern Checkerspot,Chlosyne,palla
COCA,California Ringlet,Coenonympha,california
COCA,Common Ringlet,Coenonympha,california
COEU,Orange Sulphur,Colias,eurytheme
COOC,Western Sulphur,Colias,occidentalis
CUCO,Eastern Tailed-Blue,Cupido,comyntas
DAGI,Florida Queen,Danaus,gilippus
DAPL,Monarch,Danaus,plexippus
DIVA,Gulf Fritillary,Dione,vanillae
EPCL,Silver-spotted Skipper,Epargyreus,clarus
ERFU,Funereal Duskywing,Erynnis,funeralis
ERPR,Propertius Duskywing,Erynnis,propertius
ERTR,Mournful Duskywing,Erynnis,tristis
EUAU,Large Marble,Euchloe,ausonides
EUCH,Chalcedon Checkerspot,Euphydryas,chalcedona
EUCH,Variable Checkerspot,Euphydryas,chalcedona
EUED,Bay Checkerspot,Euphydryas,editha
EUED,Edith's Checkerspot,Euphydryas,editha
EUEN,Bay Region Blue,Euphilotes,enoptes
EUEN,Dotted Blue,Euphilotes,enoptes
EUVE,Dun Skipper,Euphyes,vestris
GLLY,Silvery Blue,Glaucopsyche,lygdamus
HAGR,Golden Hairstreak,Habrodais,grunus
HECO,Columbian Skipper,Hesperia,columbia
HECO,Western Branded Skipper,Hesperia,colorado
HEER,Northern White-Skipper,Heliopetes,ericetorum
HETH,Rocky Mountain Clearwing,Hemaris,thetis
HYPH,Fiery Skipper,Hylephila,phyleus
HYPH,Northern Fiery Skipper,Hylephila,phyleus
ICAC,Acmon Blue,Icaricia,acmon
ICIC,Boisduval's Blue,Icaricia,icarioides
ICIC,Mission Blue,Icaricia,icarioides
ICIC,Point Reyes Blue,Icaricia,icarioides
JUGR,Gray Buckeye,Junonia,grisea
LEEU,Eufala Skipper,Lerodea,eufala
LILO,Lorquin's Admiral,Limenitis,lorquini
LOME,Umber Skipper,Lon,melane
NEME,Pine White,Neophasia,menapia
NYAN,Mourning Cloak,Nymphalis,antiopa
NYCA,California Tortoiseshell,Nymphalis,californica
OCAG,Rural Skipper,Ochlodes,agricola
OCSY,Woodland Skipper,Ochlodes,sylvanoides
OCYU,Yuma Skipper,Ochlodes,yuma
PAEU,Pale Swallowtail,Papilio,eurymedon
PAIN,Indra Swallowtail,Papilio,indra
PAMU,Two-tailed Swallowtail,Papilio,multicaudata
PARU,Western Tiger Swallowtail,Papilio,rutulus
PAZE,Anise Swallowtail,Papilio,zelicaon
PHCA,Common Sootywing,Pholisora,catullus
PHMY,Mylitta Crescent,Phyciodes,mylitta
PHPU,Field Crescent,Phyciodes,pulchella
PHSO,Sonoran Blue,Philotes,sonorensis
PIMA,Margined White,Pieris,marginalis
PIMA,Veined White,Pieris,marginalis
PIRA,Cabbage White,Pieris,rapae
PODO,European Paper Wasp,Polistes,dominula
POOR,Oreas Comma,Polygonia,oreas
POPR,Checkered White,Pontia,protodice
POSA,Sandhill Skipper,Polites,sabuleti
POSA,Satyr Comma,Polygonia,satyrus
PYRU,Two-banded Checkered-Skipper,Pyrgus,ruralis
PYSC,Small Checkered-Skipper,Pyrgus,scriptura
SACA,California Hairstreak,Satyrium,californica
SASA,Hedgerow Hairstreak,Satyrium,saepium
SASY,Dryope Hairstreak,Satyrium,sylvinus
SASY,Sylvan Hairstreak,Satyrium,sylvinus
SATE,Mountain Mahogany Hairstreak,Satyrium,tetra
STME,Gray Hairstreak,Strymon,melinus
SYIL,Cardinal Meadowhawk,Sympetrum,illotum
THAR,Tailed Copper,Tharsalea,arota
THGO,Gorgon Copper,Tharsalea,gorgon
THHE,Blue Copper,Tharsalea,heteronea
THHE,Purplish Copper,Tharsalea,helloides
THPY,Northern Cloudywing,Thorybes,pylades
THXA,Great Copper,Tharsalea,xanthoides
VAAN,West Coast Lady,Vanessa,annabella
VAAT,Red Admiral,Vanessa,atalanta
VACA,Painted Lady,Vanessa,cardui
VAVI,American Lady,Vanessa,virginiensis
ZEEU,California Dogface,Zerene,eurydice
