Common Name,Genus,Species
Black rockfish,Sebastes,melanops
Painted greenling,Oxylebius,pictus
Vermilion Rockfish,Sebastes,miniatus
Lingcod,Ophiodon,elongatus
Monkey-faced Prickleback,Cebidichthys,violaceus
Brook Trout,Salvelinus,fontinalis
Rainbow Trout,Oncorhynchus,mykiss
Cabezon,Scorpaenichthys,marmoratus
High Cockscomb,Anoplarchus,purpurescens
Rockweed gunnel,Apodichthys,fucorum
Northern Clingfish,Gobiesox,maeandricus
Penpoint Gunnel,Apodichthys,flavidus
Black Prickleback,Xiphister,atropurpureus
Threespine Stickleback,Gasterosteus,aculeatus
hardhead,Mylopharodon,conocephalus
Sand Sole,Psettichthys,melanostictus
Kelp Greenling,Hexagrammos,decagrammus
Black-and-Yellow Rockfish,Sebastes,chrysomelas
Gopher Rockfish,Sebastes,carnatus
California Roach,Hesperoleucus,symmetricus
Shimofuri goby,Tridentiger,bifasciatus
Russian River tule perch,Hysterocarpus,traskii pomo
Coastrange Sculpin,Cottus,aleuticus
Sacramento Sucker,Catostomus,occidentalis
Señorita wrasse,Halichoeres,californicus
Green Sunfish,Lepomis,cyanellus
Common Mola,Mola,mola
Yellowfin Goby,Acanthogobius,flavimanus
Pacific Staghorn Sculpin,Leptocottus,armatus
Inland Silverside,Menidia,beryllina
rainwater killifish,Lucania,parva
Topsmelt Silverside,Atherinops,affinis
Pacific herring,Clupea,pallasii
Brown Trout,Salmo,trutta
Woolly Sculpin,Clinocottus,analis
Common Carp,Cyprinus,carpio
Western Mosquitofish,Gambusia,affinis
Channel Catfish,Ictalurus,punctatus
Bluegill,Lepomis,macrochirus
Coho Salmon,Oncorhynchus,kisutch
Smallmouth Bass,Micropterus,dolomieu
Lahontan Cutthroat Trout,Oncorhynchus,henshawi henshawi
Paiute Sculpin,Cottus,beldingii
California Halibut,Paralichthys,californicus
Sacramento pikeminnow,Ptychocheilus,grandis
Striped surfperch,Embiotoca,lateralis
Largemouth Bass,Micropterus,salmoides
Black Bullhead,Ameiurus,melas
Starry Flounder,Platichthys,stellatus
Barred Surfperch,Amphistichus,argenteus
Northern Anchovy,Engraulis,mordax
Pacific sanddab,Citharichthys,sordidus
Bay goby,Lepidogobius,lepidus
Shiner Surfperch,Cymatogaster,aggregata
kelp pipefish,Syngnathus,californiensis
Buffalo Sculpin,Enophrys,bison
Tidewater Goby,Eucyclogobius,newberryi
Prickly Sculpin,Cottus,asper
Tidepool Sculpin,Oligocottus,maculosus
Golden Trout,Oncorhynchus,aguabonita
Striped Kelpfish,Gibbonsia,metzi
Brown Rockfish,Sebastes,auriculatus
Coastal Rainbow Trout,Oncorhynchus,mykiss irideus
Bigscale Logperch,Percina,macrolepida
Plainfin Midshipman,Porichthys,notatus
Brown Irish lord,Hemilepidotus,spinosus
Chinook Salmon,Oncorhynchus,tshawytscha
Chilipepper,Sebastes,goodei
Desert Speckled Dace,Rhinichthys,nevadensis
