Common Name,Genus,Species,Alpha Code
American Badger,Taxidea,taxus,TATA
American Beaver,Castor,canadensis,CACA
American Shrewmole,Neurotrichus,gibbsii,NEGI
Big Brown Bat,Eptesicus,fuscus,EPFU
Black Rat,Rattus,rattus,RARA
Black-tailed Jackrabbit,Lepus,californicus,LECA
Blue Whale,Balaenoptera,musculus,BAMU
Bobcat,Lynx,rufus,LYRU
Botta's Pocket Gopher,Thomomys,bottae,THBO
Broad-footed Mole,Scapanus,latimanus,SCLA
Brown Rat,Rattus,norvegicus,RANO
Brush Rabbit,Sylvilagus,bachmani,SYBA
California Ground Squirrel,Otospermophilus,beecheyi,OTBE
California Mouse,Peromyscus,californicus,PECA
California Myotis,Myotis,californicus,MYCA
California Pocket Mouse,Chaetodipus,californicus,CHCA
California Sea Lion,Zalophus,californianus,ZACA
California Vole,Microtus,californicus,MICA
Common Bottlenose Dolphin,Tursiops,truncatus,TUTR
Common Dolphin,Delphinus,delphis,DEDE
Common Raccoon,Procyon,lotor,PRLO
Coyote,Canis,latrans,CALA
Cuvier's Beaked Whale,Ziphius,cavirostris,ZICA
Desert Cottontail,Sylvilagus,audubonii,SYAU
Domestic Cat,Felis,catus,FECA
Domestic Rabbit,Oryctolagus,cuniculus,ORCU
Dusky-footed Woodrat,Neotoma,fuscipes,NEFU
Eastern Gray Squirrel,Sciurus,carolinensis,SCCA
Fin Whale,Balaenoptera,physalus,BAPH
Fox Squirrel,Sciurus,niger,SCNI
Gambel's Deer Mouse,Peromyscus,gambelii,PEGA
Gray Fox,Urocyon,cinereoargenteus,URCI
Gray Whale,Eschrichtius,robustus,ESRO
Guadalupe Fur Seal,Arctocephalus,townsendi,ARTO
Harbor Porpoise,Phocoena,phocoena,PHPH
Harbor Seal,Phoca,vitulina,PHVI
Hoary Bat,Lasiurus,cinereus,LACI
House Mouse,Mus,musculus,MUMU
Humpback Whale,Megaptera,novaeangliae,MENO
Little Brown Bat,Myotis,lucifugus,MYLU
Long-eared Myotis,Myotis,evotis,MYEV
Long-tailed Weasel,Neogale,frenata,NEFR
Merriam's Chipmunk,Neotamias,merriami,NEME
Mexican Free-tailed Bat,Tadarida,brasiliensis,TABR
Mountain Lion,Puma,concolor,PUCO
Mule Deer,Odocoileus,hemionus,ODHE
Muskrat,Ondatra,zibethicus,ONZI
None, None, none, NONE
North American River Otter,Lontra,canadensis,LOCA
Northern Elephant Seal,Mirounga,angustirostris,MIAN
Northern Fur Seal,Callorhinus,ursinus,CAUR
Northern Right Whale Dolphin,Lissodelphis,borealis,LIBO
Ornate Shrew,Sorex,ornatus,SOOR
Pacific White-sided Dolphin,Sagmatias,obliquidens,SAOB
Pallid Bat,Antrozous,pallidus,ANPA
Pinyon Mouse,Peromyscus,truei,PETR
Pygmy Sperm Whale,Kogia,breviceps,KOBR
Red Fox,Vulpes,vulpes,VUVU
Risso's Dolphin,Grampus,griseus,GRGR
Salt Marsh Harvest Mouse,Reithrodontomys,raviventris,RERA
Southern Sea Otter,Enhydra,lutris,ENLU
Steller Sea Lion,Eumetopias,jubatus,EUJU
Striped Skunk,Mephitis,mephitis,MEME
Townsend's Big-eared Bat,Corynorhinus,townsendii,COTO
Tree Squirrels,Sciurus,unknown,SCUN
Trowbridge's Shrew,Sorex,trowbridgii,SOTR
Tule Elk,Cervus,canadensis,CECA
Vagrant Shrew,Sorex,vagrans,SOVA
Virginia Opossum,Didelphis,virginiana,DIVI
Western Deer Mouse,Peromyscus,sonoriensis,PESO
Western Gray Squirrel,Sciurus,griseus,SCGR
Western Harvest Mouse,Reithrodontomys,megalotis,REME
Western red bat,Lasiurus,frantzii,LAFR
Western Spotted Skunk,Spilogale,gracilis,SPGR
Wild Boar,Sus,scrofa,SUSC
