Alpha Code,Common Name,Genus,Species
SELA,African sumac,Searsia,lancea
PIHA,Aleppo pine,Pinus,halepensis
PRDU,Almond,Prunus,dulcis
TIAM,American basswood,Tilia,americana
PLOC,American sycamore,Platanus,occidentalis
PRAR,Apricot,Prunus,armeniaca
SALA,Arroyo willow,Salix,lasiolepis
PEAM,Avocado,Persea,americana
CAEQ,Beach sheoak,Casuarina,equisetifolia
ARGL,Big berry manzanita,Arctostaphylos,glauca
ACMA,Bigleaf maple,Acer,macrophyllum
CEBE,Birch leaf mountain mahogany,Cercocarpus,betuloides
PIMU,Bishop pine,Pinus,muricata
PREM,Bitter cherry,Prunus,emarginata
POTR,Black cottonwood,Populus,trichocarpa
ROPS,Black locust,Robinia,pseudoacacia
JUNI,Black walnut,Juglans,nigra
ACME,Blackwood acacia,Acacia,melanoxylon
EUGL,Blue gum,Eucalyptus,globulus
QUDO,Blue oak,Quercus,douglasii
CETH,Blueblossom,Ceanothus,thyrsiflorus
ACNE,Boxelder,Acer,negundo
SCTE,Brazilian pepper tree,Schinus,terebinthifolia
COGL,Brown dogwood,Cornus,glabrata
SYPA,Brush cherry,Syzygium,paniculatum
AECA,Buckeye,Aesculus,californica
CHCH,Bush chinquapin,Chrysolepis,chrysophylla
BUDA,Butterfly bush,Buddleja,davidii
COAU,Cabbage tree,Cordyline,australis
UMCA,California bay,Umbellularia,californica
QUKE,California black oak,Quercus,kelloggii
TOCA,California nutmeg,Torreya,californica
PLRA,California sycamore,Platanus,racemosa
MOCA,California wax myrtle,Morella,californica
PYCA,Callery pear,Pyrus,calleryana
CICA,Camphortree,Cinnamomum,camphora
PHCA,Canary island date palm,Phoenix,canariensis
FRPU,Cascara sagrada,Frangula,purshiana
ADFA,Chamise,Adenostoma,fasciculatum
PRCE,Cherry plum,Prunus,cerasifera
CESI,Chinese hackberry,Celtis,sinensis
PICH,Chinese pistachio,Pistacia,chinensis
LISI,Chinese privet,Ligustrum,sinense
TRSE,Chinese tallowtree,Triadica,sebifera
PRVI,Chokecherry,Prunus,virginiana
QUAG,Coast live oak,Quercus,agrifolia
SESE,Coast redwood,Sequoia,sempervirens
GAEL,Coast silk tassel,Garrya,elliptica
SAHO,Coastal willow,Salix,hookeriana
FICA,Common fig,Ficus,carica
PYCO,Common pear,Pyrus,communis
ACBA,Cootamundra wattle,Acacia,baileyana
QUSU,Cork oak,Quercus,suber
SAMA,Corkscrew willow,Salix,matsudana
POFR,Cottonwood,Populus,fremontii ssp. fremontii
PICO,Coulter pine,Pinus,coulteri
SASI,Coulter willow,Salix,sitchensis
CACI,Crimson bottlebrush,Callistemon,citrinus
DILO,Date plum,Diospyros,lotus
CEDE,Deodar cedar,Cedrus,deodara
PSME,Douglas fir,Pseudotsuga,menziesii
CRDO,Douglas' hawthorn,Crataegus,douglasii
SAME,Dusky willow,Salix,melanopsis
SACE,Blue Elder,Sambucus,cerulea
SACA,American Black Elderberry,Sambucus,canadensis
SANI,European Black Elderberry,Sambucus,nigra
SARA,Red-berried Elder,Sambucus,racemosa
ULMI,English elm,Ulmus,minor
JURE,English walnut,Juglans,regia
CEAU,European hackberry,Celtis,australis
LIVU,European privet,Ligustrum,vulgare
ACRE,Ever blooming acacia,Acacia,retinodes
POFR,Fremont cottonwood,Populus,fremontii
QUXG,Gander Oak,Quercus,Xganderi
SEGI,Giant sequoia,Sequoiadendron,giganteum
GIBI,Ginkgo,Ginkgo,biloba
LILU,Glossy privet,Ligustrum,lucidum
QUCH,Gold cup live oak,Quercus,chrysolepis
CHCH,Golden chinquapin,Chrysolepis,chrysophylla
KOBI,Goldenrain tree,Koelreuteria,bipinnata
EUGR,Grand eucalyptus,Eucalyptus,grandis
PISA,Gray pine,Pinus,sabiniana
FRPE,Green ash,Fraxinus,pennsylvanica
PRIL,Holly leaf cherry,Prunus,ilicifolia
QUIL,Holly oak,Quercus,ilex
ILAQ,Holly,Ilex,aquifolium
GLTR,Honeylocust,Gleditsia,triacanthos
PTCR,Hop tree,Ptelea,crenulata
CADE,Incense cedar,Calocedrus,decurrens
QUBE,Inland scrub oak,Quercus,berberidifolia
QUWI,Interior live oak,Quercus,wislizeni
PRIL,Island cherry,Prunus,ilicifolia ssp. lyonii
ALCO,Italian alder,Alnus,cordata
CUSE,Italian cypress,Cupressus,sempervirens
PIPI,Italian stone pine,Pinus,pinea
PAAC,Jerusalem thorn,Parkinsonia,aculeata
PIAT,Knobcone pine,Pinus,attenuata
QUWI,Live oak,Quercus,wislizeni
PICO,Lodgepole pine,Pinus,contorta
PONI,Lombardy poplar,Populus,nigra
PLXH,London plane tree,Platanus,Xhispanica
ERJA,Loquat,Eriobotrya,japonica
ARME,Madrono,Arbutus,menziesii
EUVI,Manna gum,Eucalyptus,viminalis
MABO,Mayten,Maytenus,boaria
WARO,Mexican fan palm,Washingtonia,robusta
PITO,Mock orange,Pittosporum,tobira
HEMA,Monterey cypress,Hesperocyparis,macrocarpa
PIRA,Monterey pine,Pinus,radiata
MOAL,Mulberry,Morus,alba
SAEX,Narrowleaf willow,Salix,exigua
MYLA,Ngaio tree,Myoporum,laetum
CENO,Night jessamine,Cestrum,nocturnum
NONO,None,None,None
JUHI,Northern california black walnut,Juglans,hindsii
CASP,Northern catalpa,Catalpa,speciosa
NEOL,Oleander,Nerium,oleander
OLEU,Olive,Olea,europaea
QUXM,Oracle oak,Quercus,Xmorehus
FRLA,Oregon ash,Fraxinus,latifolia
MAFU,Oregon crab apple,Malus,fusca
QUGA,Oregon oak,Quercus,garryana
PLOR,Oriental arborvitae,Platycladus,orientalis
SALA,Pacific willow,Salix,lasiandra
MAPU,Paradise apple,Malus,pumila
PRPE,Peach,Prunus,persica
SCMO,Peruvian pepper tree,Schinus,molle
SALA,Polished willow,Salix,laevigata
CYOB,Quince,Cydonia,oblonga
ALRU,Red alder,Alnus,rubra
EUCA,Red gum,Eucalyptus,camaldulensis
EUSI,Red iron bark,Eucalyptus,sideroxylon
SAEX,Sandbar willow,Salix,exigua
QUPA,Santa cruz island oak,Quercus,parvula
HESA,Sargent cypress,Hesperocyparis,sargentii
PISY,Scotch pine,Pinus,sylvestris
SASC,Scouler willow,Salix,scouleriana
FRUH,Shamel ash,Fraxinus,uhdei
PITE,Short leaf box,Pittosporum,tenuifolium
QUPA,Shreve's oak,Quercus,parvula
ULPA,Siberian elm,Ulmus,parvifolia
PRSU,Sierra plum,Prunus,subcordata
ALJU,Silktree,Albizia,julibrissin
EUPO,Silver dollar gum,Eucalyptus,polyanthemos
